family,residualCount,share,reason,usefulContext,noUsefulContext,topTokens,activeAnalogs,topActiveTargets,groupPossible,autoReadyPossible,irreducible,examples
Hoses and tubes without system,31,0.0171,name_lacks_destination_context,31,0,дв-:15 | трубка:10 | трубки:9 | к-т:6 | кондиционера:6 | патрубок:6 | завод:3 | инжектор:3 | нива:3 | обр.:3,1247,dvigatel-i-transmissiya/detali-dvigatelya:420 | dvigatel-i-transmissiya/ohlazhdenie:249 | tormoznaya-sistema/prochaya-tormoznaya-sistema:202 | aksessuary/instrumenty:115 | kuzov-i-optika/kuzovnye-detali:63 | dvigatel-i-transmissiya/sceplenie:40 | podveska/ressory:37 | dvigatel-i-transmissiya/nasosy:30,0,0,31,Г-00595 Патрубок КАМАЗ-ЕВРО прием. ТКР корот. пр. (завод) | ДВ-00603 Трубка пластмассовая Лада-Гранта 2190 | ЗЧМ-00235 Трубки магистр. 2141 | Р-00043 Шланги воздушные прицепа | Р-00044 Шланг воздушный прицепа в сборе | Р-00075 Шланги воздушные | А-00339 Шланг-груша силиконовый | Г-00347 Патрубок (инжектор крив.) 5320 КАМАЗ
Rings and seals without destination,29,0.016,active_analogs_conflict_or_no_destination,0,29,кольцо:24 | кг-:9 | ин-:5 | кольца:5 | рг-:5 | стопорное:5 | зчм-:4 | москвич:4 | уплотнительное:4 | резиновое:3,508,dvigatel-i-transmissiya/detali-dvigatelya:296 | podveska/stupicy:49 | dvigatel-i-transmissiya/kpp:45 | dvigatel-i-transmissiya/detali-transmissii:29 | dvigatel-i-transmissiya/nasosy:14 | podveska/podshipniki:9 | aksessuary/avtohimiya:8 | tormoznaya-sistema/cilindry:7,0,0,29,ЗЧМ-00629 Кольцо гильз Москвич 1.7 (к-т 4 шт) | ИН-00288 29752F [N90765301] кольцо уплотнит. сист | ОК-00284 Кольцо грязезащитное внутреннее ОКА | РГ-00207 Кольцо резиновое д. 80 | РГ-00210 Кольцо резиновое д. 125 | РГ-00241 Кольцо д. 83 | РГ-00415 Кольцо резиновое д. 142х148 | РГ-00441 Кольца манжеты
Suspension/steering parts with partial context,28,0.0154,potentially_automatable_future_context_rules,1,27,отбойник:7 | зчм-:5 | кр-:5 | маятника:5 | тяга:5 | болт:4 | москвич:4 | руля:4 | рул.:3 | хсг-:3,998,podveska/rulevye-nakonechniki:426 | podveska/stoyki:150 | podveska/prochaya-podveska:138 | dvigatel-i-transmissiya/detali-transmissii:61 | kuzov-i-optika/kuzovnye-detali:50 | aksessuary/instrumenty:32 | dvigatel-i-transmissiya/detali-dvigatelya:22 | podveska/podshipniki:14,0,0,28,"А-01206 Отбойник УАЗ-Патриот СА-пласт. | ЗЧМ-00151 Маятник Москвич 2140 | ИН-00812 Отбойник NSHBB10RR | КР-00140 Кронштейн руля ВАЗ | ХСГ-00564 Гидроусилитель руля УАЗ-469 в сборе | ХСГ-00908 Тяга реактивная ЗИЛ-131 | ХСГ-01169 Отбойник УАЗ-3160, Хантер, Патриот | А-00971 Отбойник пер.панели Газель н/о"
Chassis mounts/supports with partial context,27,0.0149,potentially_automatable_future_context_rules,0,27,стоек:9 | кг-:7 | болт:5 | кр-:5 | подушки:5 | зад.:4 | накладки:4 | подушка:4 | зчм-:3 | опоры:3,403,podveska/stoyki:164 | dvigatel-i-transmissiya/detali-dvigatelya:49 | kuzov-i-optika/kuzovnye-detali:39 | aksessuary/instrumenty:22 | dvigatel-i-transmissiya/kpp:13 | dvigatel-i-transmissiya/toplivnaya-sistema:12 | dvigatel-i-transmissiya/ohlazhdenie:11 | podveska/pruzhiny:11,0,0,27,"А-02317 Упор (башмак) противооткатный AVS SM-01 | ЗЧМ-00473 Чашки стоек | ЗЧМ-00495 Рем. комплект зад. балки 2141 | ИН-00557 Подушка двиг.NMN16RH,NM B15F | КР-00570 Демпферное соединение универсальное D-45/ | ХС-00476 К-т передних стоек ЛАДА-Гранта 2190 | А-00074 Накладки цент. стоек низ. | А-00280 Накладки задних стоек 3110 (2 шт)"
Personal/non-catalog accessories,26,0.0143,no_allowed_target_current_taxonomy,0,26,перчатки:7 | брелок:5 | собака:4 | зимние:2 | кошелек:2 | нержавейка:2 | стаканы:2 | большая:1 | брелок-ключница:1 | бумажник:1,14,aksessuary/instrumenty:4 | aksessuary/chehly:2 | dvigatel-i-transmissiya/nasosy:2 | podveska/podshipniki:2 | aksessuary/avtohimiya:1 | aksessuary/prochie-aksessuary:1 | dvigatel-i-transmissiya/detali-dvigatelya:1 | elektrika/signalizatsii:1,0,0,26,"А-00246 Смайлики силикон, 4 шт | А-00278 Собака маленькая | А-00404 Собака (очень большая) | А-00502 Брелок | А-00511 Перчатки | А-00936 Стакан (нержавейка) | А-01036 Брелок | А-01280 Перчатки зимние п/шерсть черные с ПВХ"
Driver electronics and diagnostics without stable target,25,0.0138,active_analogs_conflict_or_no_destination,0,25,рация:7 | модулятор:4 | сканер:3 | алан-:2 | блок:2 | диагностический:2 | манометр:2 | мультитестер:2 | пзу:2 | стробоскоп:2,53,aksessuary/instrumenty:22 | elektrika/prochaya-elektrika:13 | dvigatel-i-transmissiya/nasosy:4 | elektrika/akkumulyatory:3 | tormoznaya-sistema/prochaya-tormoznaya-sistema:3 | aksessuary/nasosy:2 | podveska/ressory:2 | aksessuary/bezopasnost:1,0,0,25,"А-01058 Рация ""АЛАН-100"" | А-01099 Рация ""Мега-Джет"" 300,100 | А-01159 Рация ""Алан-48 плюс"" | А-01437 Рация OPTIM 270 | А-01682 Тестер MS 5300 | А-01810 STAR LINE GSM блок (с 2-мя сим-картами) | А-01864 Блок стробоскопа с пультом | А-01995 FM модулятор 07 EPLUTUS"
Repair kits without destination system,25,0.0138,name_lacks_destination_context,6,19,ремкомплект:10 | к-т:9 | рг-:8 | кр-:7 | рем.к-т:6 | рем.:5 | зчм-:4 | ремонтный:4 | сб.:4 | фланцев:4,458,tormoznaya-sistema/prochaya-tormoznaya-sistema:53 | dvigatel-i-transmissiya/kpp:49 | tormoznaya-sistema/supporty:44 | dvigatel-i-transmissiya/nasosy:28 | podveska/rulevye-nakonechniki:24 | dvigatel-i-transmissiya/sceplenie:23 | dvigatel-i-transmissiya/detali-dvigatelya:21 | filtry-i-masla/maslyanye-filtry:20,0,0,25,"ИН-01115 07003С Рем. к-т направл. | КР-00571 К-т фланцев ремонтный в сб. D45 СВД | РГ-00008 Рем.к-т подъёмника ЗИЛ 5-ти шток., силико | РГ-00092 Ремкомплект гидроподъёмника ЗИЛ | РГ-00256 Рем.к-т ГУРА ЗИЛ-130 (завод) | РГ-00280 Рем.к-т системы выхлопа УАЗ-469 | РГ-00284 Рем.к-т коллектора 406 дв. | РГ-00298 Рем.к-т блока педалей Газель"
Engine small parts with partial context,24,0.0132,potentially_automatable_future_context_rules,10,14,кг-:9 | дв-:8 | палец:8 | втулка:6 | клапан:5 | привода:3 | сапуна:3 | верхней:2 | д.8х:2 | м12х:2,620,dvigatel-i-transmissiya/detali-dvigatelya:175 | dvigatel-i-transmissiya/prokladki:56 | aksessuary/instrumenty:50 | podveska/prochaya-podveska:49 | elektrika/prochaya-elektrika:31 | tormoznaya-sistema/prochaya-tormoznaya-sistema:26 | podveska/amortizatory:24 | podveska/ressory:23,0,0,24,ДВ-00106 Клапан рециркуляции Нива в сборе | ДВ-00503 Клапан обратки 2105 | КГ-00746 Палец толкателя ГЦС | ОК-00109 Втулка скобы | ОК-00181 Втулка верхней опоры Ока | ХСГ-01047 Втулка-бочонок МАЗ д.55 | ХСГ-01048 Втулка передней подвески МАЗ-6430 н. обр | ДВ-00172 Втулки масляного привода
Wheel/tire accessories with partial context,24,0.0132,active_analogs_conflict_or_no_destination,15,9,колес:13 | дисков:5 | колпачки:5 | колпачок:3 | зчм-:2 | к-т:2 | кг-:2 | колеса:2 | колпаков:2 | кронштейн:2,408,aksessuary/shiny-i-diski:142 | tormoznaya-sistema/tormoznye-kolodki:44 | filtry-i-masla/masla:42 | podveska/stupicy:38 | aksessuary/instrumenty:28 | kuzov-i-optika/podkrylki-i-bryzgoviki:20 | kuzov-i-optika/kuzovnye-detali:18 | tormoznaya-sistema/prochaya-tormoznaya-sistema:12,0,0,24,"А-01623 Мешки для колес 4 шт | А-02071 Колпачок для дисков VESTA, 1 шт | А-02083 Колпачки дисков VESTA 17 крашеные, 4 шт | А-02323 Литиевая дисковая батарейка GP Lithium CR2025, за 1 шт | ОК-00160 Колпак защитный передний | ХС-00190 Пыльник колес Нива | А-01297 Колпачки на колеса светящ., 4 шт | А-02069 Колпачки для дисков (с логотипом), 4 шт"
Starter/ignition electrical parts with partial context,21,0.0116,potentially_automatable_future_context_rules,0,21,трамблера:10 | зчм-:8 | ин-:6 | москвич:6 | бендикс:3 | ваз:3 | втягивающее:3 | рено:3 | кл.:2 | контакты:2,200,elektrika/prochaya-elektrika:156 | elektrika/startery:14 | dvigatel-i-transmissiya/detali-dvigatelya:8 | podveska/podshipniki:4 | aksessuary/instrumenty:3 | dvigatel-i-transmissiya/prokladki:3 | elektrika/rele:3 | aksessuary/prochie-aksessuary:2,0,0,21,ЗЧМ-00447 Бендикс Москвич 2141 | ЗЧМ-00636 Втягивающее ЗАЗ | ОК-00151 Втягивающие ОКА | ДВ-00040 Втулка грибка трамблера | ЗЧМ-00060 Контакты Москвич (Турция) | ЗЧМ-00072 Уголёк трамблера Москвич | ЗЧМ-00342 Гайка трамблера 2141 | ЗЧМ-00369 Контакты Москвич
