family,residualCount,share,reason,usefulContext,noUsefulContext,topTokens,activeAnalogs,topActiveTargets,groupPossible,autoReadyPossible,irreducible,examples
Novelty/souvenir non-catalog goods,12,0.0066,no_allowed_target_current_taxonomy,0,12,присоске:4 | большой:2 | вымпел:2 | большая:1 | говорящий:1 | игрушка-корова:1 | леопард:1 | люблю:1 | мячик-дезодорант:1 | обезьяна:1,12,elektrika/prochaya-elektrika:11 | aksessuary/prochie-aksessuary:1,0,0,12,"А-00526 Обезьяна на присоске | А-00718 Мячик-дезодорант (1 шт) | А-00894 Рысь (большая) | А-00918 Поросенок (большой) | А-00986 Подарочный набор | А-01033 Игрушка-корова на присоске | А-01050 ""Леопард"" хромир. | А-01471 Хомяк ""говорящий"""
Cleaning/wiper accessories without stable target,11,0.0061,active_analogs_conflict_or_no_destination,6,5,омывателя:6 | бачка:5 | щетка:5 | кр-:4 | зимняя:2 | кронштейн:2 | крышка:2 | awm:2 | веста:1 | грузовая:1,247,filtry-i-masla/zhidkosti:79 | aksessuary/avtohimiya:46 | aksessuary/prochie-aksessuary:39 | elektrika/prochaya-elektrika:23 | aksessuary/instrumenty:19 | kuzov-i-optika/kuzovnye-detali:14 | dvigatel-i-transmissiya/nasosy:9 | elektrika/startery:8,0,0,11,"А-00121 Щётка для сметания пыли | А-00175 Щётка с губкой | А-02061 AWM Щетка зимняя | А-02074 Щетка зимняя AWM 55см, 61см | А-02091 ALCO Щётка грузовая 61, 66 | ИН-00077 Мотор бачка омывателя Ланос | КГ-01064 Зажим трубки омывателя на поводке малый Г | КР-00043 Кронштейн бачка омывателя 2101"
Cabin comfort/universal accessories without stable target,11,0.0061,active_analogs_conflict_or_no_destination,0,11,часы:6 | завод:2 | ковролин:2 | шторки:2 | батарейке:1 | большие:1 | зчм-:1 | ин-:1 | к-т:1 | ковров:1,211,aksessuary/prochie-aksessuary:103 | aksessuary/kovriki:81 | kuzov-i-optika/kuzovnye-detali:13 | elektrika/prochaya-elektrika:4 | dvigatel-i-transmissiya/detali-dvigatelya:2 | podveska/pruzhiny:2 | aksessuary/avtohimiya:1 | dvigatel-i-transmissiya/remni:1,0,0,11,А-01338 Часы большие (на батарейке) | ЗЧМ-00094 Часы 2141 | А-00141 Часы 2110 (тюнинг) | А-00151 Шторки | А-00373 Часы VST 7045V | А-01121 Шторки на присоске (со скосом) | А-01261 Ковролин 2110 (завод) | А-01659 Ковролин салона Нива (завод)
Car-care consumables without stable target,10,0.0055,active_analogs_conflict_or_no_destination,1,9,бумага:5 | наждачная:5 | антисептик:2 | аэрозоль:2 | вакс:2 | всех:2 | доктор:2 | поверхностей:2 | типов:2 | аппликатор:1,178,aksessuary/avtohimiya:72 | filtry-i-masla/zhidkosti:44 | aksessuary/prochie-aksessuary:31 | filtry-i-masla/smazki:18 | aksessuary/instrumenty:5 | dvigatel-i-transmissiya/toplivnaya-sistema:2 | kuzov-i-optika/podkrylki-i-bryzgoviki:2 | dvigatel-i-transmissiya/detali-dvigatelya:1,0,0,10,"А-00616 Аппликатор ""Доктор ВАКС"" | А-02106 DW8677 Тонкая ткань для полировки кузова | А-00167 Наждачная бумага №220,240,280,400,600,800, | А-00168 Наждачная бумага N 2000 | А-00617 Губка ""Доктор ВАКС"" DW8611, 8612R | А-00627 Наждачная бумага № 80, №100, №120,№150 | А-01222 Бумага наждачная SIA-230*280 по сухому | А-01428 Бумага наждачная полоска зеленая Р80 3М"
Tools and road equipment without stable target,8,0.0044,active_analogs_conflict_or_no_destination,1,7,лопата:4 | снега:4 | струна:2 | автодело:1 | автомобильная:1 | большая:1 | витязь:1 | дорожный:1 | кг-:1 | малая:1,754,aksessuary/instrumenty:549 | aksessuary/shiny-i-diski:50 | dvigatel-i-transmissiya/detali-dvigatelya:29 | filtry-i-masla/maslyanye-filtry:22 | kuzov-i-optika/zamki-i-ruchki:15 | dvigatel-i-transmissiya/remni:7 | filtry-i-masla/masla:7 | dvigatel-i-transmissiya/toplivnaya-sistema:6,0,0,8,"А-01292 Нож дорожный | А-02377 Струна ""Автодело"" 40686, 2 шт | КГ-00287 Насадка на шланг подкачки | А-01146 Лопата для снега (малая) | А-01691 Струна для стёкол 1 м | А-01766 Лопата для снега большая | А-01834 Лопата для уборки снега ""Витязь"" | А-02035 Лопата автомобильная для снега"
Miscellaneous universal non-catalog goods,6,0.0033,no_allowed_target_current_taxonomy,0,6,аудиоколонка:1 | грызунов:1 | детей:1 | магнитная:1 | мелочей:1 | музыкальная:1 | мышь:1 | наруж:1 | нива-тайга:1 | отпугиватель:1,37,kuzov-i-optika/fonari:14 | kuzov-i-optika/reshetki:9 | kuzov-i-optika/fary:3 | aksessuary/avtohimiya:2 | aksessuary/prochie-aksessuary:2 | filtry-i-masla/maslyanye-filtry:2 | kuzov-i-optika/zamki-i-ruchki:2 | dvigatel-i-transmissiya/kpp:1,0,0,6,"А-00548 Тюнинг Нива-Тайга | А-00946 Мышь музыкальная | А-01613 Тарелочка магнитная для мелочей | А-01791 Отпугиватель грызунов 2206 | А-02144 Аудиоколонка MIVO 09 | А-00009 Табличка (пластик) ""Перевозка детей"" наруж"
Electrical/consumer devices without auto context,5,0.0028,technical_insufficient_data,0,5,разветвитель:2 | тепловентилятор:2 | автомобильный:1 | газовая:1 | двойной:1 | кото:1 | маленькая:1 | плитка:1 | реж.:1 | те-:1,27,elektrika/prochaya-elektrika:9 | aksessuary/prochie-aksessuary:6 | aksessuary/instrumenty:5 | elektrika/provodka:4 | dvigatel-i-transmissiya/detali-dvigatelya:2 | podveska/rulevye-nakonechniki:1,0,0,5,"А-00543 ""КОТО"" Разветвитель двойной 201 | А-01460 Тепловентилятор автомобильный AVS Comfort ТЕ-310 12В (2 реж.) 150W | А-01522 KOTO EFB-211 Тепловентилятор | А-01560 Плитка газовая (маленькая) | А-01630 Разветвитель EPUTUS"
Safety/reflective/emergency goods without stable target,4,0.0022,no_allowed_target_current_taxonomy,0,4,лента:3 | светоотражающая:3 | браслеты:1 | желтая:1 | пешеходов:1 | светоотражающие:1,30,aksessuary/bezopasnost:20 | kuzov-i-optika/fonari:4 | aksessuary/instrumenty:2 | aksessuary/avtohimiya:1 | aksessuary/ramki-nomerov:1 | kuzov-i-optika/kuzovnye-detali:1 | kuzov-i-optika/podkrylki-i-bryzgoviki:1,0,0,4,А-01583 Браслеты для пешеходов светоотражающие | А-00834 Светоотражающая лента | А-01922 Лента светоотражающая 1 м | А-01949 Лента светоотражающая жёлтая (1 м)
Audio/radio/media accessories without stable target,3,0.0017,active_analogs_conflict_or_no_destination,0,3,флешка:2 | банка:1 | воспроизв.:1 | радио+флешка:1 | usb:1,73,aksessuary/prochie-aksessuary:62 | kuzov-i-optika/kuzovnye-detali:9 | elektrika/prochaya-elektrika:1 | filtry-i-masla/maslyanye-filtry:1,0,0,3,"А-01332 ""Банка"" радио+флешка (воспроизв.) | А-01650 Флешка 8 Гб | А-01687 USB флешка 32 Гб"
Fluids/adhesives/chemicals without stable target,2,0.0011,active_analogs_conflict_or_no_destination,0,2,армированная:2 | клейкая:2 | лента:2 | avs:2 | мм*25мм:1,427,filtry-i-masla/smazki:132 | filtry-i-masla/zhidkosti:129 | aksessuary/avtohimiya:117 | elektrika/prochaya-elektrika:14 | aksessuary/instrumenty:5 | tormoznaya-sistema/supporty:5 | kuzov-i-optika/kuzovnye-detali:4 | dvigatel-i-transmissiya/toplivnaya-sistema:3,0,0,2,А-00612 Лента клейкая армированная AVS 48мм * 10мм | А-02264 Лента клейкая армированная AVS 48мм*25мм
Fuel/air intake parts with partial context,2,0.0011,potentially_automatable_future_context_rules,0,2,болт:1 | воздухоочистителя:1 | планка:1 | ресивера:1,198,dvigatel-i-transmissiya/toplivnaya-sistema:134 | dvigatel-i-transmissiya/prokladki:23 | aksessuary/avtohimiya:15 | elektrika/datchiki:8 | dvigatel-i-transmissiya/detali-dvigatelya:6 | aksessuary/instrumenty:3 | elektrika/prochaya-elektrika:3 | podveska/pruzhiny:2,0,0,2,К-00280 Планка воздухоочистителя 2101-07 | К-00309 Болт ресивера 2110
Fragrance/air-freshener goods without stable target,1,0.0006,active_analogs_conflict_or_no_destination,0,1,автопарфюм:1,0,,0,0,1,А-00723 Автопарфюм 7 мл
