reason,count,share,examples
no_candidate,769,0.6635,"А-00004 Вентилятор ALCO | А-00246 Смайлики силикон, 4 шт | А-00278 Собака маленькая | А-00404 Собака (очень большая) | А-00526 Обезьяна на присоске"
CODE_ONLY,125,0.1079,А-00775 А-00775 | А-01370 А-01370 | А-01393 А-01393 | А-01399 А-01399 | А-01429 А-01429
UNKNOWN_PRODUCT_TYPE,122,0.1053,А-00369 Люк | А-00502 Брелок | А-00511 Перчатки | А-00573 Прожектор | А-00703 Такси
close_candidates,99,0.0854,А-01211 Накладка на воздухозаборник 2110 (краш.) | КГ-00601 Шпилька приемной трубы ЗИЛ-130 | КГ-00739 Скоба троса газа 402 дв. | КГ-01086 Соединитель шлангов Г-образный метал. д.1 | А-00352 Привод центрального замка
negative_evidence,43,0.0371,ДВ-00106 Клапан рециркуляции Нива в сборе | ДВ-00186 Диффузор салона 2105 | ДВ-00503 Клапан обратки 2105 | К-00341 Болт салазки сиденья 2110 | РДГ-00065 Тройник ручки УАЗ
SIZE_ONLY,1,0.0009,ИН-01291 12356СР Н21W 12V
