family,status,count,share,target,examples
Детали двигателя,GROUP_REVIEW,415,0.0135,dvigatel-i-transmissiya/detali-dvigatelya,ДВ-00070 Постель распредвала 2101-07 | ДВ-00174 Распредвал 2101 | ДВ-00197 Постель распредвала 2108 | ДВ-00218 Поршневая в сборе Приора 82.0 (Кострома) | ДВ-00232 Клапана ВАЗ 2110
Датчики,GROUP_REVIEW,389,0.0127,elektrika/datchiki,"А-00957 Парктроник (4 датчика+коннекторы, голосовое,цветной светодиод. дисплей с цифр. табло) | А-01605 Парктроник PS-126U 6 датчиков+коннекторы | ДВГ-00146 Датчик массового расхода воздуха нов. обр. | ДВГ-00822 Датчик распред. вала 406 дв. ""Бош"" | ДВГ-01235 Датчик ДМРВ Г/У (дв.405,409) пленочн. Ев"
Проводка,GROUP_REVIEW,383,0.0125,elektrika/provodka,"А-01070 Провода прикуривателя 700А 6 м (Россия) | А-01730 Провод к видеорегистратору, навигатору 2 м | А-01856 Провод зарядный IPHONES магн. | А-01944 Провода ""PROGRESS"" 400 А | А-02113 Провод микро-USB в коробке"
Ремни,AUTO_READY,375,0.0122,dvigatel-i-transmissiya/remni,ИН-00048 Ремень Гура Чери-Амулет 10X715 | ИН-00383 Ремень п/к 4РК813 | ИН-00385 Ремень клиновой AVX13х650La | ИН-00699 Ремень поликлиновый 6РК 1995 | ИН-00731 13х800 Ремень клин. генератора
Инструменты,GROUP_REVIEW,367,0.012,aksessuary/instrumenty,А-00187 Домкрат 2108 бол. | А-00521 Домкрат 4 т 2х-штоковый | А-00660 Домкрат 2 т | А-00937 Домкрат профессиональный 3 т. | А-01029 Домкрат реечный 1м 40 см
Аккумуляторы,AUTO_READY,364,0.0119,elektrika/akkumulyatory,А-01005 Аккумулятор 18650 | А-01760 Фонарь на лоб аккумуляторный | А-01768 Внешний аккумулятор 8800 мА/ч | А-02283 Аккумулятор 18650 | АК-00002 Аккумулятор STALWART Drive TRUCK 6СТ-190 евро конус/болт
prochaya-tormoznaya-sistema,GROUP_REVIEW,359,0.0117,tormoznaya-sistema/prochaya-tormoznaya-sistema,"ГСМ-00827 VMPAUTO Набор смазок для тормозной системы BREMZ стик-пакет, 100мл | ГСМ-01198 LM Медный спрей для тормозных колодок 0, | ЗЧМ-00397 Комплект тормозных трубок Москвич 2141 | ЗЧМ-00482 Комплект тормозных трубок (Москвич 412-2 | ЗЧМ-00543 Барабан тормозной задний ИЖ-2126"
prochaya-tormoznaya-sistema,AUTO_READY,342,0.0111,tormoznaya-sistema/prochaya-tormoznaya-sistema,ТС-00026 Пыльник переднего колеса 2101-07 | ТС-00051 Накладки для иномарок | ТС-00112 Регулятор тормозов 2101-07 в сборе | ТС-00175 К-т медных трубок 2110 | ТС-00183 Штанга регулировки тормозов с кронштейном
Насосы двигателя,GROUP_REVIEW,322,0.0105,dvigatel-i-transmissiya/nasosy,"А-00128 Насос | А-01263 ""ALCO"" насос одноцилиндр. | А-02054 Наконечник для насоса быстрозажимной профе | А-02055 Наконечник для насоса (евро) хром длинный | А-02389 Насос EL-02"
Тормозные колодки,GROUP_REVIEW,312,0.0102,tormoznaya-sistema/tormoznye-kolodki,"ИН-00126 Установочный комплект задних колодок Рено | ИН-00204 Колодки задние Рено Меган № 481 (дисковые | ИН-00249 Колодки для иномарок передние №041 | ИН-00252 Колодки задние Шевроле-Лачетти № 125 | ИН-00254 Колодки передние Шевроле-Лачетти, Део-Нек"
kpp,GROUP_REVIEW,298,0.0097,dvigatel-i-transmissiya/kpp,"Ж-00079 Поперечина КПП ГАЗ 3302 | ЗКГ-00015 Раздатка УАЗ-Хантер, 3160 КПП 5-ступ. | ЗКГ-00185 Крышка КПП УАЗ 5-ступ. верх. в сборе | ЗКГ-00232 Пластина КПП УАЗ-Хантер | ЗКГ-00233 Вал промежуточ. Г-3110,3302 Б+ КПП 5-ступ. (дв.406, Камминс 2,8)"
Кронштейны и крепления кузова,GROUP_REVIEW,279,0.0091,kuzov-i-optika/kronshteyny-i-krepleniya,"А-00056 Кронштейн антенны | А-00370 Скоба д.16 | А-00888 Подлокотник 2110, 2115 (метал. кронштейн) | А-01774 Скоба троса 12 мм | А-01775 Скоба троса 15 мм"
rulevye-nakonechniki,GROUP_REVIEW,261,0.0085,podveska/rulevye-nakonechniki,ЗЧМ-00153 Рулевая колонка Москвич 2140 в сборе | ЗЧМ-00243 Пальцы рулевые в сборе 2141 | ЗЧМ-00304 Рулевая рейка 2141 | ЗЧМ-00322 Ремкомплект рулевых тяг Святогор | ЗЧМ-00498 Усы рулевой рейки 2141 (1 шт)
Стекла,GROUP_REVIEW,255,0.0083,kuzov-i-optika/stekla,"А-00376 Стеклоподъемники 2 двери ВАЗ (электр.) | А-00702 Стеклоподъёмник 3110 (2 двери) | А-01940 Шторка лобового стекла Газель (серая) 140с | А-01985 Накладка зад. стекла 2101-07 | А-02044 Наклейка боков. стекла ""КАМАЗ"""
Зеркала,AUTO_READY,251,0.0082,kuzov-i-optika/zerkala,"А-00916 Зеркала Таврия лев./прав. (за 1 шт) | А-01106 Зеркало видеорегистратор Д-02 | А-01163 Зеркала универсальные ""F1"" 2 шт | А-01365 Зеркала ""F1"" с поворотн. диодн. | А-01385 Зеркало з/в-монитор 5 дюйм"
