shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,explanation,correct,correctCategory,reviewerComment
ИН-00736,Колодки тормозные дисковые зад. к-т KIA C,tormoznaya-sistema,tormoznye-kolodki,0.84,BLOCKED_CONFLICT,brake_pads|колодки|tormoznaya-sistema|tormoznye-kolodki,Найдены отрицательные признаки для лучшего кандидата.,,,
КЗ-01041,Накладка порога Г-33104 Валдай лев. пласт,kuzov-i-optika,obves-i-dekor,0.84,BLOCKED_CONFLICT,body_decor|накладка|kuzov-i-optika|obves-i-dekor,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
О-00308,"Зеркало ""Фольц"" ( с поворотником)",kuzov-i-optika,povtoriteli,0.84,BLOCKED_CONFLICT,legacy_kuzov-i-optika_povtoriteli|поворотник|kuzov-i-optika|povtoriteli,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ОК-00119,Накладка порога декор. без арок,kuzov-i-optika,obves-i-dekor,0.84,BLOCKED_CONFLICT,body_decor|накладка|kuzov-i-optika|obves-i-dekor,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ТСГ-00689,Колодки тормозные Г-3302 NEXT зад. под диск. тормоза,tormoznaya-sistema,tormoznye-kolodki,0.84,BLOCKED_CONFLICT,brake_pads|колодки|tormoznaya-sistema|tormoznye-kolodki,Найдены отрицательные признаки для лучшего кандидата.,,,
ТСГ-00811,Колодки тормозные УАЗ-ПРОФИ зад. дисковые (4 шт к-т),tormoznaya-sistema,tormoznye-kolodki,0.84,BLOCKED_CONFLICT,brake_pads|колодки|tormoznaya-sistema|tormoznye-kolodki,Найдены отрицательные признаки для лучшего кандидата.,,,
ХСГ-00623,Сайлентблок Г-3302 NEXT перед. амортиз.,podveska,amortizatory,0.84,BLOCKED_CONFLICT,shock_absorber|амортиз|podveska|amortizatory,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ХСГ-01243,Сайлентблок Г-3302 NEXT еред. амортиз. в,podveska,amortizatory,0.84,BLOCKED_CONFLICT,shock_absorber|амортиз|podveska|amortizatory,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ЭО-00342,Сайлентблок генератора 2101-08,elektrika,generatory,0.84,BLOCKED_CONFLICT,generator|генератор|elektrika|generatory,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
ЭО-00398,Фишка с проводом датчика кислорода (папа),elektrika,datchiki,0.84,BLOCKED_CONFLICT,sensor|датчик|elektrika|datchiki,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
