shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,explanation,correct,correctCategory,reviewerComment
ГСМ-01075,FEBI 06161 Жидкость ГУР 1 л CHF 11S синт. (зелёная),filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-01084,"Жидкость для розжига углей ""Костерок"" 0,",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-01136,"""Мобил"" минеральная жидкость для АКПП",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-01142,Жидкость для гидроусилителя руля 946 мл,filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-01200,Пропитка для воздушных фильтров 400 мл LAVR MOTOLINE аэрозоль,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ГСМ-01333,"Toyota жидкость D-III для ГУР, 1 л",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-01481,"Аляска Жидкость для систем SCR диз. двиг (мочевина), 10 л",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-01602,Незамерзающая жидкость -30* 5 л(зел.кр),filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-01625,"TOTAL Гидравлическая жидкость LHM PLUS, 1 л",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-01685,HG7005 Жидкость для автоматических коробок передач,filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-01693,"Спец жидкость Лукойл ""AdBlue"" 10 л",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ДВ-00034,Фильтр бензиновый 2110 (завод),filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00263,Штуцер масляного фильтра ВАЗ,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00294,Фильтр бензонасоса 2110,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00305,"Корпус воздушного фильтра 2108-2110 (""Бош",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00321,Фильтр бензиновый Нива (инжектор),filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00338,Сетка бензинового фильтра Нива 21214,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00355,Переходник м/фильтра ВАЗ 2105,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00410,Фильтр LADA Granta 2190 (LX-1118-C-ST) угольный Стандарт,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00419,"Корпус воздушного фильтра Гранта, КПП авт",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00508,Корпус воздушного фильтра Калина,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00509,Корпус воздушного фильтра Шеви-Нива,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00605,Корпус воздушного фильтра 2107-21082,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00606,Корпус воздушного фильтра Калина 11184,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00702,Фильтр дополнительный воздухозаборника Нива 21213,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00751,"Эл. фильтра очистки воздуха ЭФВ-305.158 ЛАДА Веста, X-Ray",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00752,"Эл. фильтра очистки воздуха ЭФВ-305.160 ЛАДА Ларгус, Логан 16 кл.",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00753,"Эл. фильтра очистки воздуха ЭФВ-305.159 Ларгус, Рено 8 кл.",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВ-00754,"Эл. фильтра очистки воздуха ЭФВ-305.203 Ларгус, Веста, X-Ray с 13.08.2019 г.",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00046,Сальниковая набивка ГАЗ (1 шт),dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ДВГ-00050,Фильтр-отстойник Волга,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00051,Фильтр бензиновый ГАЗ,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00103,Фильтр бензиновый Волга (керамика),filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00115,Переходник масляного фильтра Волга,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00174,Фильтр грубой очистки (406 дв.),filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00231,Штуцер крепления масляного фильтра Г-330,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00241,Штуцер крепления масляного фильтра Г-330,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00347,Корпус масляного фильтра ГАЗ-24 в сборе,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00372,Хомуты воздушного фильтра УАЗ,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00455,Фильтр-отстойник ГАЗ,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00498,"Сальниковая набивка ""Мерседес""",dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ДВГ-00520,Патрубок воздушного фильтра угловой ГАЗ,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00546,Переходник воздушного фильтра УАЗ,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00583,Фильтр Гура Зил-Бычок,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00618,Фильтр-сепаратор FS-1280,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00641,Сетка фильтра центрифуги Зил-Бычок,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00651,Фильтр-сепаратор FS-1242,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00689,Трубки масляного фильтра впуск.+ выпуск.,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00718,Стержень масляного фильтра ГАЗ-24,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00720,Фильтр грубой очистки МАЗ,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00736,Крышка фильтра тонкой очистки КАМАЗ,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00744,Патрубок воздушного фильтра ГАЗ-3302 (дв,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00765,Набор сальниковой набивки ГАЗ-53,dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ДВГ-00772,Крышка фильтра грубой очистки КАМАЗ,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00858,Штуцер топливного фильтра грубой очистки,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-00923,Фильтр грубой очистки ГАЗ-2705 в сборе,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01099,"Штуцер крепления масл. фильтра УАЗ,ГАЗ",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01112,Фильтр влагоотделителя Валдай,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01121,Сальникодержатель ГАЗ,dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ДВГ-01160,Фильтрующий элемент воздухоочистителя,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01191,Шланг воздушного фильтра 3309,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01229,Фильтр топл.груб.оч.КАМАЗ PL-270.420,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01232,Груша воздушного фильтра ГАЗ-3302 Евро-3,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01316,Фильтр грубой очистки топл. в сборе с по,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01361,Вставка воздушного фильтра ГАЗ-3302,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01459,Фильтр погружной б/н (сетка) Г-3302 Б+ (,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01532,Патрубок воздушного фильтра Г-2705 (дв.,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01575,Фильтр WDK 724/1,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01604,Корпус масляного фильтра Бычок,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01605,Фильтр-отстойник в сборе (тонкой очистки,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01806,Фильтр-осушитель с трубкой КААЗ,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01823,Элемент фильтр. возд. КАМАЗ Евро-1,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01841,Вставка воздушного фильтра Г-3302 NEXT (,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01842,Вставка воздуш. фильтра Г-3302 (дв. Камм,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01894,Фильтр-отстойник Бычок грубой очистки,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01915,Штуцер топл. фильтра Г-зон NEXT (дв. Кам,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01916,Штуцер топл. фильтра Г-зон NEXT (дв. ЯМЗ,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01923,Фильтр погруж. б/н (сетка) УАЗ-Патриот,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01931,Патрубок воздуш. от фильтра к тройнику Г,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01951,Патрубок КАМАЗ воздушного фильтра 5320-1,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-01972,Воздухозаборник возд. фильтра Г-3302 NEX,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-02000,Элемент воздушного фильтра КАМАЗ ЕВРО-3,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-02068,Фильтр КАМАЗ-5490 MERCEDES жидкости катализатора AdBlue (карбамидный),filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-02126,Фильтр погружной б/н (сетка) Г-3302 Б+ (дв.405) Е-3,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-02127,"Фильтр погружной б/н (сетка) Г-3302, NEXT (дв.4216,А274) под модуль",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-02209,"Сальник форсунок Камминс 2,8 силикон (чёрн. к-т)",dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ДВГ-02261,NF-4506 S Эл. фильтра очистки воздуха Невский фильтр,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-02262,NF-4730 Эл. фильтра очистки воздуха Невский фильтр,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-02292,Патрубок возд. фильтра (44.245-1109408) МД,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-02300,"Патрубок воздушного фильтра КАМАЗ (L70,d108) 6520-1109420",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-02322,"Фильтр 12/16(9.3.400) м32х1,5 Н200 (FF5740) Цитрон Shacman VOLVO",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-02358,Патрубок воздушного фильтра NEXT Е-5,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ДВГ-02378,"Фильтрующий элемент очистки воздуха КАМАЗ 5460, 6520",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ЗКГ-00150,Сальник кулисы УАЗ-452,dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ЗЧМ-00012,Ремкомплект масляного фильтра Москвич,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ЗЧМ-00029,Сальник хвостовика коробки Москвич 2140,dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
