reason,count,share,examples
unique_singleton_or_no_active_analogs,606,0.3343,"А-00004 Вентилятор ALCO | А-00526 Обезьяна на присоске | А-00548 Тюнинг Нива-Тайга | А-00616 Аппликатор ""Доктор ВАКС"" | А-00711 Покрытие пола (линолеум) | А-00894 Рысь (большая) | А-00896 Опора полки 2108 (2 шт) | А-00918 Поросенок (большой)"
name_lacks_destination_context,496,0.2736,Г-00595 Патрубок КАМАЗ-ЕВРО прием. ТКР корот. пр. (завод) | ДВ-00603 Трубка пластмассовая Лада-Гранта 2190 | ЗЧМ-00186 Крышка поддона Москвич | ЗЧМ-00235 Трубки магистр. 2141 | ЗЧМ-00588 Болт крышки в/очистителя 2141 | К-00001 Гайка м 8 сапуна ВАЗ 01-07 | К-00151 Болт М 5 малый крест | К-00341 Болт салазки сиденья 2110
technical_insufficient_data,344,0.1897,"А-00176 Адаптер ""Samsung"" USB (оригинал) | А-00369 Люк | А-00370 Скоба д.16 | А-00502 Брелок | А-00511 Перчатки | А-00543 ""КОТО"" Разветвитель двойной 201 | А-00573 Прожектор | А-00703 Такси"
active_analogs_conflict_or_no_destination,236,0.1302,А-00726 Бокс 2101-07 Люкс | А-01211 Накладка на воздухозаборник 2110 (краш.) | А-01725 Переходник с 220V на USB | А-01774 Скоба троса 12 мм | А-01775 Скоба троса 15 мм | Г-00029 Тройник КАМАЗ Евро | ЗЧМ-00062 Тройник патрубков Москвич | ЗЧМ-00109 Тройник головки Москвич
no_allowed_target_current_taxonomy,95,0.0524,"А-00246 Смайлики силикон, 4 шт | А-00278 Собака маленькая | А-00404 Собака (очень большая) | А-00936 Стакан (нержавейка) | А-01033 Игрушка-корова на присоске | А-01280 Перчатки зимние п/шерсть черные с ПВХ | А-01287 Бумажник водителя BLACK натур. кожа | А-01528 Четки с иконкой"
potentially_automatable_future_context_rules,36,0.0199,ДВ-00106 Клапан рециркуляции Нива в сборе | ДВ-00503 Клапан обратки 2105 | КГ-00746 Палец толкателя ГЦС | ОК-00109 Втулка скобы | ОК-00181 Втулка верхней опоры Ока | ХСГ-01047 Втулка-бочонок МАЗ д.55 | ХСГ-01048 Втулка передней подвески МАЗ-6430 н. обр | ДВ-00040 Втулка грибка трамблера
